,roc_auc,accuracy,sensitivity,specificity,f1_score,training_time
0,0.5207273988777009,0.8963372533927945,0.025987624940504522,0.9815521885417281,0.0506346444954726,26089.53741455078



Test loss 0.4035
Test roc_auc 0.5207
Test accuracy 0.8963
Test sensitivity 0.0260
Test specificity 0.9816
Test f1_score 0.0506
95% Confidence Intervals (Lower, Upper):
ROC AUC: (0.5192400090334959, 0.5226785425452543)
Accuracy: (0.8954266601772516, 0.8964484600844379)
Sensitivity: (0.02524333280885565, 0.02669902336867546)
Specificity: (0.9811809979028234, 0.9818008017404204)
F1 Score: (0.04922039494222941, 0.051984168164739636)
Time required to compute confidence intervals: 0.5830 seconds
Saving model to /mnt/iridia/sehlalou/thesis/examples/dl/ViT/saved_models/forecast_20250414-060617
Total training time: 434 minutes and 49 seconds
